"llm","topic","eb_pct","lo95","hi95"
"claude-opus-4-5-20251101","Allergy/Immunology",98.1981991699408,95.4784620769837,99.3048057031889
"claude-opus-4-5-20251101","Anesthesiology",98.9970171016241,94.3358304664041,99.8957296594971
"claude-opus-4-5-20251101","Cardiovascular",98.2208936236632,90.6989979546604,99.6990758708778
"claude-opus-4-5-20251101","Critical Care Medicine",98.147581723966,88.8827464201869,99.8215912818737
"claude-opus-4-5-20251101","Dermatology",98.2628288729026,89.1305787025429,99.8140971347114
"claude-opus-4-5-20251101","Emergency Medicine",98.3987833315821,93.143845611165,99.6775521376737
"claude-opus-4-5-20251101","Endocrine",98.994238960066,93.7411232435156,99.9441348467762
"claude-opus-4-5-20251101","Gastrointestinal",98.5141804011977,92.427711071582,99.7948866687739
"claude-opus-4-5-20251101","General Surgery",96.6716404663583,84.535685586146,99.484693270733
"claude-opus-4-5-20251101","Geriatrics",98.620291477442,88.39375168715,99.8316146809025
"claude-opus-4-5-20251101","Hematology",96.7790394233873,82.9967649396026,99.6417489355376
"claude-opus-4-5-20251101","Immunology",99.1995284952558,92.1096811611411,99.9642638443446
"claude-opus-4-5-20251101","Infectious Disease",90.4092387966112,45.5228210517886,98.8015558869906
"claude-opus-4-5-20251101","Medical Oncology",99.2860254299712,92.5753453982112,99.9597640088556
"claude-opus-4-5-20251101","Nephrology",98.586762465762,88.2171438653276,99.8220462429692
"claude-opus-4-5-20251101","Neurological Surgery",95.6270651189192,72.8981890660674,99.3880143369384
"claude-opus-4-5-20251101","Neurology",98.2934879890283,92.0999218454675,99.7469683067645
"claude-opus-4-5-20251101","Obstetrics and Gynecology",98.7336847220168,93.8796420646533,99.778113524864
"claude-opus-4-5-20251101","Ophthalmology",96.6459829913508,81.3107399271492,99.5951613917699
"claude-opus-4-5-20251101","Orthopedic Surgery",97.810951062779,83.281942274374,99.7358684820512
"claude-opus-4-5-20251101","Otolaryngology",98.7995185102289,92.0202946548161,99.8997764527069
"claude-opus-4-5-20251101","Pediatrics",96.9968718929579,89.5235206454742,99.1711704869553
"claude-opus-4-5-20251101","Physical Medicine and Rehabilitation",97.9949366421895,86.1059951061274,99.7386185008818
"claude-opus-4-5-20251101","Plastic Surgery",97.5764914165635,84.3310986616768,99.8907342684357
"claude-opus-4-5-20251101","Psychiatry",99.0103217616803,95.2572559498927,99.8696763345529
"claude-opus-4-5-20251101","Pulmonary",98.0914864569317,89.8398535916489,99.7787803000092
"claude-opus-4-5-20251101","Radiation Oncology",97.3320004769686,82.9473857820036,99.6900894294413
"claude-opus-4-5-20251101","Rheumatology/Musculoskeletal",99.1178998921466,91.2798361340382,99.9628842387434
"claude-opus-4-5-20251101","Thoracic Surgery",96.33615699746,75.1893841607221,99.7430376098391
"claude-opus-4-5-20251101","Urology",98.5822278967617,90.1326935099705,99.8724155396083
"claude-opus-4-5-20251101","Vascular Surgery",99.6006696190645,88.4324276601076,99.9982287357018
"deepseek-v3.2","Allergy/Immunology",97.1138058498629,93.1074283335449,98.8100315913518
"deepseek-v3.2","Anesthesiology",98.0406642059196,88.9768712715606,99.6696163540066
"deepseek-v3.2","Cardiovascular",97.7240500864236,89.5968978111195,99.6973221298988
"deepseek-v3.2","Critical Care Medicine",97.167942886346,83.5421721575706,99.7209327279037
"deepseek-v3.2","Dermatology",97.2953305049653,84.7583639469742,99.7031735985953
"deepseek-v3.2","Emergency Medicine",97.3000261101488,88.7648021600185,99.4023301374445
"deepseek-v3.2","Endocrine",97.0399371081381,83.7869803612054,99.5417741270633
"deepseek-v3.2","Gastrointestinal",97.6579199167249,89.2443521663395,99.702343393023
"deepseek-v3.2","General Surgery",94.0285349515296,73.8880515516267,98.8102179639008
"deepseek-v3.2","Geriatrics",98.4640812273161,89.898687493882,99.885996498235
"deepseek-v3.2","Hematology",95.1342564491618,75.5843717479329,99.4782561161333
"deepseek-v3.2","Immunology",98.7518739119531,89.6245389672316,99.9437391282239
"deepseek-v3.2","Infectious Disease",95.9386559850386,79.6505192265757,99.3985692993222
